target_name,feature_set,validation_f1,test_f1,test_accuracy,test_balanced_accuracy
anxiety,survey_only,0.7076923076923077,0.7226890756302521,0.6451612903225806,0.6209677419354839
anxiety,survey_plus_spotify,0.696969696969697,0.717948717948718,0.6451612903225806,0.6290322580645161
depression,survey_only,0.6666666666666666,0.5773195876288659,0.5591397849462365,0.5590697674418605
depression,survey_plus_spotify,0.6415094339622641,0.5773195876288659,0.5591397849462365,0.5590697674418605
insomnia,survey_only,0.47368421052631576,0.30985915492957744,0.4731182795698925,0.4452380952380952
insomnia,survey_plus_spotify,0.5128205128205128,0.30985915492957744,0.4731182795698925,0.4452380952380952
ocd,survey_only,0.3888888888888889,0.36363636363636365,0.5483870967741935,0.579302987197724
ocd,survey_plus_spotify,0.43243243243243246,0.3582089552238806,0.5376344086021505,0.5725462304409672
overall_distress,survey_only,0.6666666666666666,0.5567010309278351,0.5376344086021505,0.5372340425531915
overall_distress,survey_plus_spotify,0.6274509803921569,0.5773195876288659,0.5591397849462365,0.5587419056429233
