feature,importance_mean,importance_std
age,0.022394972769926157,0.02012118668997311
foreign_languages,0.016084023643372813,0.012828157379841432
bpm,0.013543062497473524,0.011603037223096389
tempo,0.011399823341967574,0.005945098975657144
duration_ms,0.008373218031593832,0.00393390746899044
energy,0.008175863692795082,0.004548864629141376
acousticness,0.008058129065021503,0.005293806184707438
loudness,0.007718502654073545,0.004368297515038259
while_working,0.005965278281261288,0.00753628689660938
exploratory,0.005355733386067663,0.007728249222076094
popularity,0.00486695404286055,0.0042274226412602305
liveness,0.004854659874138456,0.001618219958046152
speechiness,0.0021576266107282025,0.002642542125867383
word_count,0.0010858056138247974,0.007518684449776976
instrumentalness,0.0005209653995988828,0.0040895349822146695
composer,0.0002097692538208018,0.0036506935278837753
danceability,-0.0003480786519444168,0.004942359578746295
hours_per_day,-0.0008762667150853832,0.00961025498996824
fav_genre,-0.001431502270579288,0.005954888876992976
valence,-0.001725673188064547,0.005239167686862438
music_effects,-0.0021836879345673798,0.00894500593781414
text_length,-0.007929183546251429,0.010675107689471813
primary_streaming_service,-0.010401104883809853,0.009454392157174044
instrumentalist,-0.015221098123147259,0.0073673080877943945
