feature,importance_mean,importance_std
age,0.06588213709886583,0.022485458944954562
while_working,0.03125149876063501,0.022822363289257592
instrumentalness,0.02148318284258588,0.019100049239323534
danceability,0.01967840283601101,0.01416661689101823
fav_genre,0.014672953175862691,0.012518779133236782
energy,0.014624069773141934,0.01185919947623054
duration_ms,0.013841574137852397,0.013498404467250126
acousticness,0.01381733155103656,0.018519505759324977
valence,0.0137251797752591,0.008321558290497296
hours_per_day,0.011768785729032028,0.020942700811116145
speechiness,0.010307076101468604,0.011191320173023678
liveness,0.007812848997825162,0.008477211728959195
loudness,0.0069138445950295505,0.013856200028642242
primary_streaming_service,0.00674405507748006,0.01860113417924005
exploratory,0.006408935902898305,0.017304115339751316
popularity,0.005742135565799789,0.01121321582853373
tempo,0.003547097899064011,0.011015941177609432
bpm,0.0020517819515519452,0.018804479024863225
text_length,-0.000872118517896392,0.020732255840021654
foreign_languages,-0.0021536244194497733,0.015256438669941814
music_effects,-0.003990980055799742,0.012923429749904573
word_count,-0.003997592212652024,0.02633562814845464
composer,-0.009552683875756885,0.009489437209985685
instrumentalist,-0.028533178673972294,0.008956830582653922
