feature,importance_mean,importance_std
bpm,0.056178105688087523,0.05680774375519006
hours_per_day,0.03461756476243303,0.04068824685271351
composer,0.027631578947368406,0.00921052631578947
while_working,0.015534796587428169,0.015450285495171308
danceability,0.006319050314026636,0.01461568398548377
foreign_languages,0.005660732778761624,0.005916113114187957
popularity,0.001400930731270017,0.004375314061469625
energy,9.11369332421974e-05,0.009293196929954782
instrumentalness,0.0,0.0
duration_ms,0.0,0.0
valence,0.0,0.0
loudness,0.0,0.0
fav_genre,0.0,0.0
acousticness,-0.0010025062656641604,0.002005012531328321
tempo,-0.0020050125313283208,0.0024556288148202283
exploratory,-0.002506265664160401,0.002506265664160401
liveness,-0.003007518796992481,0.0024556288148202283
age,-0.006495973339509775,0.0548977727021923
instrumentalist,-0.00812941444520392,0.0025449244080864197
music_effects,-0.020941453575493384,0.014449103334982694
text_length,-0.022096420869407225,0.03553175304515083
speechiness,-0.027261186347581595,0.03115738514763121
word_count,-0.03286279090271832,0.03300769972922051
primary_streaming_service,-0.03784119522545805,0.020111069046226265
