feature,importance_mean,importance_std
age,0.07322697380565042,0.04241936264177511
text_length,0.03642819234684593,0.07185605124512791
popularity,0.03583013144091939,0.030588784937318855
primary_streaming_service,0.03385922097615647,0.026209440164253
word_count,0.02959484336943675,0.0487755780269446
exploratory,0.027006152892413232,0.034333004314819594
instrumentalist,0.02024519203124516,0.02303064393709463
bpm,0.018693942873047365,0.024203403702151127
speechiness,0.01376015337708888,0.020207794225410167
hours_per_day,0.013550350300431424,0.030218947660152738
duration_ms,0.012676496937361736,0.01314902722284405
composer,0.01100131051743956,0.013913547667808002
acousticness,0.003946678321678321,0.009511960667850546
loudness,0.003805797696926738,0.011285213213893268
danceability,0.0029969035939185263,0.009746628166166874
instrumentalness,0.0028954378954379025,0.01743124937569037
tempo,0.0022989510489510477,0.009121267894129585
valence,0.001085481682496614,0.002170963364993228
liveness,0.0,0.0
energy,0.0,0.0
fav_genre,-0.003916083916083923,0.0025636787104648105
while_working,-0.008247773731644693,0.007589160591288961
foreign_languages,-0.012064222599407088,0.03330948198659325
music_effects,-0.017753982128982115,0.015137240256143636
