feature,importance_mean,importance_std
hours_per_day,0.05489039948993526,0.031005396197357298
foreign_languages,0.03328082120270251,0.024575588573372976
age,0.02837125475634337,0.020785885567080883
composer,0.026418656176523725,0.012482031981584648
exploratory,0.018722067199068982,0.019854457121056573
danceability,0.01596907429013461,0.010039708451314733
duration_ms,0.014958973280033616,0.012269816156748492
instrumentalness,0.01494845360824738,0.012911066222119594
while_working,0.01204871839518693,0.017697896142112837
music_effects,0.01089299529103579,0.02171803787592836
energy,0.009814853776562127,0.008121983731152999
popularity,0.009299389859036356,0.007564397472045645
tempo,0.008783925941510584,0.009465278928106885
primary_streaming_service,0.007866708320316506,0.014378543952724927
acousticness,0.006956293755766602,0.022052837283613937
valence,0.004639175257731942,0.007086457260240964
liveness,0.004186616852301639,0.0039021046445552017
text_length,0.0030664024221305985,0.032877643919062706
speechiness,0.001546391752577314,0.004639175257731942
loudness,0.0015355398806293718,0.015862472133796487
instrumentalist,-0.0002779231721669717,0.010963648030695307
fav_genre,-0.0023158154233265393,0.016724260051386844
word_count,-0.003959382546158829,0.01143791537065353
bpm,-0.013321552602917225,0.03909558865098355
